name,description
アプリケーション企画・要件定義,"・衛星データを活用するアプリケーションの企画と要件定義を行う業務。
・具体的には、ユーザー課題の抽出、機能要件の整理、開発方針の策定等を行う業務が該当する。"
インサイト抽出,"・分析結果のレポート資料作成等アプリケーションを用いたソリューションを提案する業務。
・具体的には、分析結果をもとに、意思決定支援のための可視化、レポート作成、提案資料の作成等を行い、ソリューションとして提示する業務が該当する。"
インシデント対応,"・情報セキュリティ事故や技術トラブル発生後に、影響を最小化し再発防止を図る業務。
・具体的には、情報セキュリティ事故・サイバー攻撃・技術トラブル等の発生時に、初動対応、原因調査、再発防止策の実施等を行う業務が該当する。
・特に、宇宙分野においては、衛星運用や地上局に関するインシデントが国家的影響を及ぼす可能性があるため、迅速かつ正確な事後対応が求められる。"
エミネンス活動,"・企業や技術者の専門性を発信する活動を行う業務。
・具体的には、講演・論文発表・メディア出演等を行う業務が該当する。
・特に、宇宙分野においては、技術的信頼性が事業獲得に直結するため重要となる。"
クライシスコミュニケーション,"・危機発生時の広報対応を行う業務。
・具体的には、打上げ失敗・衛星喪失・情報漏洩等の事象に対する社外説明・報道対応を行う業務が該当する。
・特に、宇宙分野においては、社会的注目度が高く、迅速かつ正確な対応が求められる。"
コンプライアンス管理,"・組織におけるコンプライアンス体制の整備および運用を行う業務。
・具体的には、法令遵守体制の整備、社内教育、違反リスクの監視・是正対応を行う業務が該当する。
・特に、宇宙分野においては、輸出管理・宇宙活動法・電波法等の特殊法令への対応が求められる。"
サイバー攻撃対策,"・サイバー攻撃からシステムを防御する業務。
・具体的には、ファイアウォール・IDS/IPSの導入、SOC運用、脆弱性診断、インシデント対応体制の構築を行う業務が該当する。
・特に、宇宙分野においては、衛星・地上局がサイバー攻撃の対象となる可能性があり、国家レベルのセキュリティ対策が必要となる。
※情報漏洩対策とサイバー攻撃対策の違いは情報漏洩対策の欄を要参照。"
サービス仕様検討・要件定義,"・顧客ニーズに基づき、サービスの品質や機能を定義し、要件を取りまとめる業務。
・具体的には、機能要件の整理、技術仕様の検討、開発チームとの連携等を行う業務が該当する。
・特に、宇宙分野においては、衛星運用や地上設備とのインタフェースを含む複雑な技術要件の整理が必要となる。"
サービス設計,"・衛星データを活用したサービス提供の形態を設計する業務。
・具体的には、価格モデルの検討、技術的な構築方法の設計、収益シミュレーションの実施、サービスの持続可能性評価等を行う業務が該当する。"
システム設計（システム全体）,"・概念設計で定義したシステム全体の要件について、具体的に「どのように実現するか」を設計し、計画策定を行う業務。
・具体的には、信頼性・安全性設計、システムアーキテクチャの設計、サブシステム間のインタフェース設計、運用設計、検証計画、開発計画の策定等を行う業務が該当する。
・特に、宇宙分野においては、長期運用や過酷な環境に耐えるため、冗長化設計やフェイルセーフ設計を含む高信頼性設計が求められる。"
ステークホルダーマネジメント,"・プロジェクトにおけるステークホルダーと適切な情報連携が行われるようにコントロールを行う業務。
・具体的には、関係者との定期的な会議体の運営や、要望・懸念事項の整理・調整を通じて、プロジェクトの合意形成を図る業務が該当する。
・特に、宇宙分野においては、官公庁・企業・国際機関等多様なステークホルダーとの調整が不可欠であり、活動意義や理念、開発進捗、法規制や安全保障対応などに関する情報共有が重要となる。"
ソフトウェア系の製造,"・設計図に基づき、ソフトウェアの実装・テスト・ビルドを行い、必要なパッケージングや構成管理を通じて、ソフトウェアモジュールを生成する業務。
・製造されたソフトウェアモジュール同士を統合し、宇宙機や地上システムのハードウェアや他ソフトウェアと適切に組み合わせて動作させるための組込み・統合作業を行う業務。"
ソフトウェア系の解析,・宇宙輸送機や人工衛星のソフトウェア系に関するシステムを設計する段階において、宇宙機の運用目的達成要件を実現する機能・性能要件を満たすことができるよう、計算量、遅延、リソース使用料、安全性等の観点から、性能解析、静的解析、シミュレーション検証を行う業務。
ソフトウェア系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件および信頼性・安全性要件を満たすことができるよう、「構造系」、「熱制御系」、「推進系」、「電気系」、「通信系」、「制御系」、「データ処理」系等のあらゆるサブシステムを制御し、システム全体の最適化を図るための組み込みソフトウェアの設計および、ソフトウェアの統合を行う業務。
ソフトウェア系の試験,・統合したソフトウェアが機能・性能要件および信頼性・安全性要件を満たしているかの検証を行う業務。
デザインレビュー,"・開発における手戻りを未然に防止するため、設計内容を審議・確認する業務。
・具体的には、システムやサブシステムのコンセプトと採用技術の整合性、設計方針・設計根拠の妥当性、重要部品の課題対応策や検証方法の適切性、設計検証モデルによる品質確保の段階的確認を行い、フェーズ移行の判断を行う業務が該当する。
・特に、宇宙分野においては、打上げ後の修正が比較的困難であるため、設計段階でのレビューを通じて信頼性・安全性を確保することが重要となる。"
データ処理系の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種部品の製造を行う業務。
・製造されたデータ処理系の部品同士の組付けを行う業務。"
データ処理系の解析,・宇宙輸送機や人工衛星のデータ処理系に関するシステムを設計する段階において、宇宙機の運用目的達成要件を実現する機能・性能要件を満たすことができるように、特定の環境下におけるシミュレーションを行い、設計解を得る業務。
データ処理系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件および信頼性・安全性要件を満たすことができるよう、人工衛星の状態監視および測位追跡と、地上局とのデータの送受信、各サブシステムへの信号送受信を担うオンボードコンピュータシステムの設計を行う業務。
データ処理系の試験,・設計段階から製造後の段階において、材料や部品、製作したシステムが機能・性能要件および信頼性・安全性要件を満たしているかの検証を行う業務。
データ品質管理,"・衛星や地上設備から取得されるデータの正確性・一貫性・完全性・信頼性・適時性を確保するために、品質評価・検査・維持改善を行う業務。
・具体的には、データの品質基準の策定、メタデータの整備、完全性の確認等を行う業務が該当する。
・特に、宇宙分野においては、観測条件や通信環境によるデータ欠損や誤差を防ぐため、厳格な品質評価と補正が求められる。"
データ解析,"・衛星等から取得された観測・計測データを処理・分析し、有用な情報を抽出する業務。
・具体的には、画像処理、物理量の算出、異常検知、統計解析、ユーザー向けデータ生成等を行う業務が該当する。
・特に、宇宙分野においては、広域かつ長期の観測データを活用し、災害監視や環境評価等社会的価値の高い情報を抽出することが求められる。"
トレーサビリティ管理,"・宇宙関連製品・システムにおける要求、設計、調達、製造、試験、運用等の各段階の情報を相互に追跡可能な形で管理する業務。
・具体的には、要求から設計・試験・成果物への対応関係の記録に加え、調達品や部品の識別情報、変更履歴の管理、証跡の整備等を行う業務が該当する。
・特に、宇宙分野においては、どの部品がどのサブシステムに組み込まれ、最終的にどの製品に使用されたかを明確にすることが、打上げ後の不具合解析や国際規格（例：ECSS、ISO）への適合性確認のために不可欠である。"
ビジネスモデル検討,"・各国・地域の社会課題を調査・把握し、潜在顧客層のニーズを捉え、「誰に」「何を」「どのように」提供するかを検討する業務。
・具体的には、市場分析、顧客セグメントの設定、提供価値の設計等を行う業務が該当する。
・特に、宇宙分野においては、官需・民需・国際市場の構造を踏まえた持続可能な事業モデルの構築が求められる。"
プロジェクトコストマネジメント,"・プロジェクトが当初予算・コスト計画通りに進行しているか監視・コントロールを行い、必要に応じて予算やコスト計画の修正・最適化を図る業務。
・具体的には、予算計画と実績データの差異分析を行い、コスト超過リスクへの対応策を立案・実施する業務が該当する。
・特に、宇宙分野においては、打上げや試験等高額な工程におけるコスト変動が大きいため、初期段階から精緻な見積りとリスク対応策の策定が重要となる。"
プロジェクトリスクマネジメント,"・プロジェクトにおけるリスクを特定・評価したうえで、発生を監視しリスクの顕在化を抑止し、またリスク顕在化時はリスク対応計画に基づき対応を行う業務。
・具体的には、リスク要因の抽出、影響度・発生確率の評価、リスク対応計画の策定、リスク監視の実施等を行う業務が該当する。
・特に、宇宙分野においては、打上げや運用における高リスク事象（例：打上げ失敗、通信途絶、軌道投入不良）をあらかじめ想定し、それらが発生した場合にもミッション継続性や安全性を確保できるように事前のプロジェクト計画に反映することが求められる。"
プロジェクト体制・要員マネジメント,"・プロジェクトにおける人的資源の管理を行い、必要に応じて人員の補充・削減を図る業務。
・具体的には、要員計画の策定、スキルマップに基づく人員配置、外部人材の登用等を行う業務が該当する。
・特に、宇宙分野においては、専門性の高い技術者や試験要員の確保が重要なため、人材のケイパビリティを把握し、適切な人員配置・長期的な人員戦略を立てることが求められる。"
プロジェクト品質・仕様管理,"・プロジェクトの計画・実行が品質要求に従って進められることを保証するため、プロジェクト推進に係るルールや活動範囲を定義し、システム・サブシステム等のプロジェクトにおける上流レベルの仕様や品質水準を定義し、定期的な確認を行い、必要な策を講じる業務。
・具体的には、品質基準の設定、レビューや監査の実施、仕様変更時の判断、変更案の立案・実行、他部署との連携を通じた品質向上施策の推進等を行う業務が該当する。
・特に、宇宙分野においては、打上げ後の修正が困難であるため、国際標準（ISO、ECSS、NASA規格等）や顧客要求に適合する厳格な品質保証と仕様管理が求められる。"
プロジェクト安全管理,"・宇宙関連のプロジェクト、プロダクト、宇宙輸送機・衛星運用などの設計仕様や運用方針のレベルでの安全性を確保するための計画立案およびレビューを行う業務。
・具体的には、設計段階での安全要求の反映、リスクアセスメント、安全審査会の運営、打上げ・運用時の安全確認等を行う業務が該当する。
・特に、宇宙分野においては、人的・物的被害の防止や国際基準（例：ISO 14620、ECSS-Q-ST-40等）への適合が求められるため、これら厳格な基準に対応するための安全管理体制の構築が重要となる。"
プロジェクト計画策定,"・宇宙機の運用目的を達成するための計画を策定する業務。
・具体的には、スケジュール計画、コスト計画、資源計画（モノ・ヒト等）、リスク管理計画、軌道計画、航法計画、射場選定、周波数調整等に関する計画策定を行う業務が該当する。
・特に、宇宙分野においては、打上げウィンドウ（打上げ可能な時間帯）や国際周波数調整、射場利用制約等、宇宙開発分野特有の条件を考慮した計画立案も重要となる。"
プロジェクト進捗マネジメント,"・プロジェクトが計画スケジュール通りに進行しているか監視・コントロールを行い、必要に応じて計画の修正・最適化を図る業務。
・具体的には、マイルストーンの達成状況の確認、クリティカルパスの管理、遅延要因の分析と対策立案等を行う業務が該当する。
・特に、宇宙分野においては、打上げ日等の固定スケジュールに合わせた厳密な進捗管理が求められる。"
プロダクト品質検査・品質管理,"・調達したコンポーネントや部材、材料が要求仕様・性能・信頼性を満たすことを保証するための計画、実施、監視、改善を行う業務。
・具体的には、品質保証計画の策定、構成管理、検査・試験の品質評価、異常・不適合の管理、サプライヤ品質監督などが該当する。
・特に、宇宙分野においては、打上げ後の交換が不可能な場合が多いため、国際標準（ISO、ECSS、NASA規格等）や顧客要求に適合する厳格な品質保証とトレーサビリティ確保が求められる。"
マーケティング,"・市場分析や顧客ニーズの把握を通じて、事業戦略を支援する業務。
・具体的には、市場調査、競合分析、ターゲット設定、製品・サービスの訴求ポイントの整理、プロモーション施策の立案を行う業務が該当する。
・特に、宇宙分野においては、官需・民需・海外市場等多様な市場構造を理解し、技術的優位性を訴求するマーケティングが必要となる。"
ミッション実行,"・所定の衛星運用目的（ミッション）の達成に向けて、衛星の制御・データ取得を行う業務。
・具体的には、撮像、通信、測位信号の送信に際して衛星へのコマンド送信、テレメトリ監視、取得データの初期処理等を行う業務が該当する。
・特に、宇宙分野においては、ミッション要求に応じた衛星の運用計画に基づき、リアルタイムでの制御・監視・データ取得が求められる場面で必要となる。"
ミッション系の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種部品の製造を行う業務。
・製造されたミッション機器の部品同士の組付けを行う業務。"
ミッション系の解析,・宇宙機の運用目的達成のために求められる機能・性能要件および信頼性・安全性要件を満たすことができるよう、ミッション機器の設計段階において、特定環境下におけるシミュレーションを行い、設計解を得る業務。
ミッション系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件および信頼性・安全性要件を満たすことができるよう、観測、通信、測位、科学実験等の目的に応じたミッション機器（放送用中継器、気象観測機器、測位機器、科学観測機器等）の構想立案および詳細設計を行う業務。
ミッション系の試験,・設計段階から製造後の段階において、材料や部品、製作したミッション機器のシステムが機能・性能要件及び信頼性・安全性要件を満たしているかの検証を行い、また必要に応じて、設計検証を実施する業務。
ユースケースの企画・提案,"・事業・サービスの利用例を構想し、顧客提案に落とし込む業務。
・具体的には、課題設定、利用シナリオの設計、提案資料の作成等を行う業務が該当する。
・特に、宇宙分野においては、衛星データの利活用や地上設備との連携を踏まえた具体的な社会実装例の提示が求められる。"
ユースケース企画,"・衛星データの社会的・産業的活用を促進するために、利用目的・利用方法を検討・特定する業務。
・具体的には、対象分野（農業、防災、都市計画等）に応じたユースケースの企画、必要なデータ仕様の整理、利用者ニーズの把握等を行う業務が該当する。"
ロビー活動,"・政策形成や制度設計に対して、戦略的な働きかけを行う業務や活動。
・具体的には、法制度や政府予算の分析、関係省庁・議員・業界団体との関係構築、政策提言文書の作成、世論形成のための広報活動等を行う業務が該当する。
・特に、宇宙分野においては、新規制度の創設、予算獲得、規制緩和等を目的とした活動において重要となる。"
人材育成・教育,"・社員の能力向上を支援する業務。
・具体的には、研修企画・運営、OJT制度整備、技術教育、キャリア支援を行う業務が該当する。
・特に、宇宙分野においては、専門技術の継承や国際対応力の育成が求められる。"
他軌道上物体の監視,"・政府機関や国際的な管理主体から提供される軌道上物体の情報を取得し、衛星のマヌーバーの要否を検討する業務。
・具体的には、軌道予測データを解析し、衝突確率の評価や回避マヌーバの計画立案を行う業務が該当する。
・必要に応じて、追加の宇宙空間状況データの取得・購入を行う業務が該当する。"
企業提携,"・大企業、スタートアップ、大学、研究機関、海外事業者との提携・交流を推進する業務。
・具体的には、パートナーシップ、アライアンス構築、共同事業構想の立案、連携体制の構築等を行う業務が該当する。"
出荷検査,"・製造・統合された製品が出荷基準を満たしているかを確認し、宇宙機の信頼性を確保する業務。
・具体的には、外観・機能・性能の最終確認、環境試験結果の評価、出荷判定および検査記録の作成を行う業務が該当する。
・特に、宇宙分野においては、打上げ後の修正が困難であるため、出荷前の厳格な検査と記録管理が不可欠となる。"
分離確認・記録,"・打上後に、宇宙輸送機の各段・フェアリング・ペイロードの分離状況を確認・記録する業務。
・具体的には、テレメトリデータや地上局からの観測情報を用いて、各構成要素の分離タイミングと軌道遷移を記録・評価する業務が該当する。"
制御系（姿勢・誘導）の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種部品の製造を行う業務。
・製造された制御系（姿勢・誘導）の部品同士の組付けを行う業務。"
制御系（姿勢・誘導）の解析,・宇宙輸送機や人工衛星の姿勢制御や誘導制御に関するシステムを設計する段階において、宇宙機の運用目的達成要件を実現する機能・性能要件を満たすことができるように、特定の環境下におけるシミュレーションを行い、設計解を得る業務。
制御系（姿勢・誘導）の設計,・宇宙機の運用目的達成のために求められる機能・性能要件および信頼性・安全性要件を満たすことができるよう、宇宙輸送機や人工衛星の姿勢制御や誘導制御に関するシステムの設計を行う業務。
制御系（姿勢・誘導）の試験,・設計段階から製造後の段階において、材料や部品、製作したシステムが機能・性能要件および信頼性・安全性要件を満たしているかの検証を行う業務。
前処理,"・衛星データの品質向上と解析効率化のための前処理を行う業務。
・具体的には、幾何学補正・正射補正、放射補正・大気補正、雲判別・マスク処理、ノイズ除去、GIS座標系変換・タイル化を行う業務が該当する。
・特に、宇宙分野においては、観測条件やセンサ特性に応じた補正を適切に行うことで、解析精度を確保することが重要となる。"
労務管理,"・社員の勤務状況や労働環境を管理する業務。
・具体的には、勤怠管理、残業・休暇管理、健康診断、安全衛生対応等を行う業務が該当する。
・特に、宇宙分野においては、射場作業や試験業務など高リスク環境での安全管理、特殊勤務形態（長期プロジェクト、夜間対応）への対応に加え、外国籍従業員に関するビザ・在留資格管理や文化・言語面でのコミュニケーション支援が求められる。"
周囲の安全管理,"・打上げ後に、射場周辺の安全状況を確認・管理する業務。
・具体的には、火災、爆発、落下物、人的被害等の有無を確認し、必要に応じて緊急対応を行う業務が該当する。"
周波数調整,"・他の無線システムとの干渉を防ぐために、衛星が使用する周波数帯域において、周波数調整を行う業務。
・具体的には、国内外の周波数管理機関との調整、干渉予測、申請書類の作成、調整会議への対応等を行う業務が該当する。"
品質監査対応,"・社内外の品質監査に対応する業務。
・具体的には、監査準備、記録作成、改善活動の実施等を行う業務が該当する。
・特に、宇宙分野においては、JAXAや海外パートナー、ISOによる監査への対応が頻繁に発生する。"
営業・顧客対応,"・顧客との接点創出から受注後のフォローまで、一連の営業活動および顧客対応を行う業務。
・具体的には、リード獲得、顧客ニーズの把握、顧客との関係構築、提案活動、契約条件の調整・交渉、受注後の関係維持やフォローアップ等を行う業務が該当する。
・特に、宇宙分野においては、官公庁、民間企業、海外顧客等に対応するための幅広い調整力が求められる。"
国際取引会計対応,"・海外企業との取引に関する会計処理を行う業務。
・具体的には、外貨建取引の換算、国際税務対応、移転価格管理等を行う業務が該当する。
・特に、宇宙分野においては、海外打上げサービスや国際共同開発が多く、国際会計基準への対応が必要となる。"
