name,description
3Dプリンティング,"・3Dプリンティング設備を用いて、要求通りに製品・部品の製造を行うことができるスキル。
・具体的には、プリンティングを行う製品の3Dモデルを設計し、プリント条件を調整することができるスキルが該当する。
・製作する構造物の強度や耐熱性を加味したうえで、適切な材料を選定するための、金属材料・セラミックス・複合材料など材料に関する知識を有することが望ましい。"
EMC設計・解析,"・電子機器が発する電磁波が他の電子機器に干渉しないか（EMI：放射）、またはほかの機器からの電磁波によって誤作動しないか（EMS:耐性）を確認するための設計・解析を行うことができるスキル。
・特に、人工衛星の開発においては、人工衛星から発生する電磁ノイズや外部からの電磁ノイズに対して、機器の誤作動防止や運用目的要件達成への影響を制御するために、EMC設計・解析が求められる。"
EMC試験,"・設計通りのEMC性能（EMI・EMS）を有しているかの試験を行うことができるスキル。
・特に、人工衛星から発生する電磁ノイズや外部からの電磁ノイズに対して、機器の誤作動防止や宇宙機の運用目的達成要件への影響検証などのスキルが該当する。"
IR（情報開示）,"・投資家・株主等のステークホルダーに対して、適切な情報開示を行うことができるスキル。
・具体的には、財務情報・事業戦略の整理、説明資料の作成、説明会対応などのスキルが該当する。
・特に、宇宙分野においては、長期的な投資回収や技術的な不確実性を伴う業界特性のために、専門性を踏まえた透明性の高い情報開示が求められる。"
PR・広報,"・企業の活動や価値を社内外に効果的に伝えるスキル。
・具体的には、プレスリリース作成、ニュースレターの発行、SNS運用、展示会・セミナーでの広報活動などのスキルが該当する。
・特に、宇宙分野においては、社会的理解の促進やステークホルダーとの信頼構築において必要となる。"
SAR（合成開口レーダ）センサ,"・SARセンサの原理、観測手法、応用技術、撮像可能な事象等に関する知識を有し、業務に活用できるスキル。
・具体的には、合成開口レーダーの原理、干渉SAR・偏波SAR等の手法、地形解析・変位計測への応用に関する理解が該当する。
・特に、宇宙分野においては、全天候・昼夜対応の観測スキルを活かした地表面変化の検出が求められる。"
SRE（Site Reliability Engineering）プロセス,"・開発と運用が連携し、サービスの信頼性とリリース効率を向上させるSRE（Site Reliability Engineering：サイト信頼性エンジニアリング）プロセスの運用を行うことができるスキル。
・具体的には、CI/CD（ソフトウェアの変更を常にテストし、自動で本番環境に適用できるような状態にしておく開発手法）、モニタリング、障害対応、インシデント管理などのスキルが該当する。
・特に、宇宙分野においては、人工衛星運用や地上設備の安定稼働を支えるため、24時間体制での信頼性管理が求められる。
※SREとは、ソフトウェアツールを使用して、システム管理やアプリケーション監視等のITインフラのタスクを自動化する手法。"
SSA/SDA（宇宙状況把握）,"・宇宙状況把握（SSA/SDA）に関する知識を有し、業務に活用できるスキル。
・具体的には、軌道追跡、宇宙デブリ、回避行動に必要な制約条件（燃料、運用スケジュール、国際ガイドライン等）、人工衛星の識別、センサデータの統合解析、脅威評価、可視化・通知システム等に関する理解が該当する。"
はんだ付け,"・母材を溶融させずに、はんだを使用して金属面を接合することができるスキル。
・業務にあたるうえで技能講習の受講が望ましい。"
アッセンブリ,"・複数個の部品・デバイス・コンポーネントから、コンポーネントやサブシステムの組立て完成品を製造するスキル。
・デバイスとは、小型モータ、電池等の数個の部品と筐体を組み合わせ、コンポーネントまたはサブシステムの中である特定の機能を遂行するものを指す。
・コンポーネントとは、アクチュエータ、バッテリ等の複数の部品、デバイスおよび筐体を組み合わせ、サブシステムまたはシステムの一部を構成し、運用の中で独立した機能を遂行するものを指す。"
