skill_major_id,skill_major,skill_sub_id,skill_sub,business_major_id,business_major,business_sub_id,business_sub,level
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-01,プロジェクト企画・考案,BZ-0101,宇宙ミッション策定,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-01,プロジェクト企画・考案,BZ-0103,ロビー活動,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-01,プロジェクト企画・考案,BZ-0104,新技術創造,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-05,打上運用,BZ-0506,関連機関・地元ステークホルダーとの調整,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-06,衛星運用,BZ-0601,運用コンセプト設計,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-06,衛星運用,BZ-0602,運用計画策定,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-06,衛星運用,BZ-0604,周波数調整,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-06,衛星運用,BZ-0605,無線免許申請,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-06,衛星運用,BZ-0612,他軌道上物体の監視,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-07,衛星データ利活用,BZ-0701,ユースケース企画,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-07,衛星データ利活用,BZ-0702,サービス設計,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-07,衛星データ利活用,BZ-0708,アプリケーション企画・要件定義,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-07,衛星データ利活用,BZ-0712,インサイト抽出,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-08,経営企画,BZ-0801,経営戦略の策定,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-08,経営企画,BZ-0802,企業提携,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-08,経営企画,BZ-0803,海外展開戦略の企画・調整,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-08,経営企画,BZ-0804,政策・公募制度の活用提案,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-09,事業開発,BZ-0901,市場・顧客ニーズの発掘,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-09,事業開発,BZ-0902,ユースケースの企画・提案,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-09,事業開発,BZ-0903,新サービスの企画・検討,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-09,事業開発,BZ-0904,ビジネスモデル検討,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-09,事業開発,BZ-0905,サービス仕様検討・要件定義,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-11,営業,BZ-1101,営業・顧客対応,1
